LS01A1,LS01D,LS02A1,LS02C1,LS02D,LS03A2,LS03D,LS04A,LS04C,LS04D,LS05A1,LS05C,LS05D,LS06C,LS06D,LS07A,LS07D,LS08A,LS08C,LS08D,LS09A,LS09C,LS09D,LS10A,LS10C,LS10D,LS11A1,LS11C,LS11D,LS12A1,LS12C,LS13A1,LS13D,LS14C,LS15A1,LS15C,LS15D,LS16B,LS16C,LS16D,LS17A,LS17C,LS17D,LS18A1,LS18C,LS18D,LS19A1,LS19C,LS19D,LS20A1,LS20D,LS21D,LS22A1,LS22C,LS22D,LS23A,LS23C,LS24B,LS24C,LS24D,LS25A1,LS25C,LS25D,LS26B,LS26C,LS26D,LS27A,LS27C,LS27D
1449.096982,2144.715955,1380.125374,27.96858444,416.534992,628.0297173,1022.939295,1076.162,732.3774385,495.0936805,1.867989581,607.0872605,986.2053355,662.5206571,1803.367785,110.8101709,375.9157524,1280.661928,574.8029183,1446.963931,480.6384044,667.0704376,1393.931251,283.2481792,1259.078486,649.6956639,2540.538315,1479.374084,1333.884801,187.0025506,2252.036459,802.7247234,1669.606885,391.6963367,0,0,202.1710698,1017.174986,12.70542427,3.334307515,257.827367,88.3160891,785.8391771,25.97339734,257.7661542,416.1760718,531.4601146,0,216.8243022,582.7769627,803.4040932,176.9410661,0.877577885,268.383422,0,307.9852635,403.8655012,674.6300882,352.0718399,522.8925399,1560.383923,747.838436,197.4403143,776.322459,699.0079942,92.55498369,270.7130279,519.2328344,463.3556562
0,0,0,2.983042057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.74097228,0,0,0,0,2.45406542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.4858366,0,0,0,17.44340352,0,0,0,0,0,0,0,0,0,0,0,0,0
5.356633381,165.0208214,0,32.59128283,0,129.813653,77.03237453,117.4398763,11.34937833,262.1721704,13.82549632,0,28.95273776,58.47836796,0,0,0,0,0,10.54938945,0,0,0,86.07563812,0,5.322183709,0,0,51.91410954,0,0,19.52826442,0,15.44399231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.19397045,227.0690029,0,0,0,53.52100663,63.44262531,0,0,11.82174499,20.57467562,0,0,0,0,6.268905988,0,0,21.46704198
4649.059066,3874.948917,3393.972115,24.00247967,1126.462782,1254.151105,1913.809931,2017.495652,3538.043621,2347.410863,33.76251002,1355.484,2469.222228,1610.425817,4257.62612,1639.908224,1896.744554,2678.82996,1581.348746,2609.077255,1698.257606,1867.433145,4015.86441,1911.437976,2888.765189,2197.029714,3951.286185,3112.872431,1782.681607,560.9194848,5109.512565,1547.05187,2894.548077,1349.25213,51.69521354,99.08676865,1843.983431,2163.694417,306.9945486,5.694978443,400.0026282,800.1582074,1493.337438,212.7725169,1044.868958,1394.399339,1499.696233,12.29601023,977.3516069,2343.388806,2767.498452,392.2772667,2.702002849,1426.010391,12.08728904,751.2762369,1481.037872,1498.148871,1720.107654,1667.559282,3004.072714,1469.001792,1391.294394,1819.969279,1951.590104,908.2094518,2122.136858,1358.29258,1941.946377
897.1970365,1024.144336,1119.370184,6.584838955,232.0502995,613.986287,902.3451645,1014.508859,278.2602108,1574.338032,34.75696815,292.6625071,1551.816615,611.4272347,2611.855885,644.720629,7.969265592,997.3292243,285.5746659,858.1192722,2835.99322,304.7351712,283.3848335,3961.047238,128.7709417,1349.087,520.8497342,226.6530056,637.3562827,61.40916686,267.0436723,532.8039063,427.6328965,294.4144265,207.0709255,463.9252191,1473.609277,1423.882295,5.619403024,0,11.50919449,120.290432,156.3274738,90.92381516,287.2673474,249.3809939,156.1623127,0,0,925.5260444,736.0165112,305.5956309,16.84486724,160.9847517,15.03278612,548.7992774,436.3140042,153.3594748,300.2065167,843.0898656,712.1188441,99.89951491,503.3720781,199.6301585,502.7450118,581.0575299,1383.810605,768.6967361,1306.716221
0,0,0,1.745763459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375.2342964,28.26119471,0,0,0,131.917081,0,0,7.627722587,132.5974734,20.15423038,0,1112.773245,0,0,526.6661272,12.86900374,176.7530942,132.3600286,0,2347.118284,260.0688051,14.17032137,1183.779315,71.43234572,0,0,18.39981485,36.51365968,0,14.40191295,0,0,35.29450525,0,5.821055148,973.6769539,0,0,0,0,2.672953208,31.54461056,17.83262565,0,186.3365286,521.0831595,0,104.4352116,0,0,5.408730937,0,0,4.676507203,2.711700203,7.670820173,0,0,283.2048555,0,407.1313222,3.831744238,0,0,2.594438765,710.9374117,110.0634401,465.0706436
4005.001569,4544.618454,3225.45838,46.00143345,818.2673819,1611.810793,2540.716042,2845.304051,2763.35246,3090.310473,6.45219229,1840.885478,2676.20069,1918.518233,4534.065466,2114.042761,1901.960732,2187.372479,1046.6162,2391.091746,2744.547532,1030.240126,2247.520062,3692.775393,2898.169607,2460.119002,3400.179123,3955.153845,1657.152136,358.964337,3778.89544,1889.023194,2139.728868,1308.385166,58.74961127,283.0328643,1979.354533,3581.571221,941.6554387,7.480540127,233.6270979,659.2557166,804.9354197,1123.715252,2166.395561,1794.906064,1377.555973,2.976342084,853.4027648,2674.484042,3630.234387,468.8897449,22.32243606,1648.780671,18.28097854,912.1600234,1844.577195,1396.79639,1435.588386,1959.411462,2799.5774,1464.285351,1369.574015,1877.127764,2390.654656,2583.12712,2306.024006,2058.07108,2753.884141
3043.605867,3716.410807,2095.615999,33.36981353,521.9234625,1318.201504,1838.04282,2236.343784,1288.427414,1805.703833,3.477407087,1465.096456,1883.717699,1570.766525,2657.807855,94.34661059,1318.752118,1484.22234,680.3218207,1689.640456,602.5194306,775.9924375,1336.040588,581.978591,2271.034316,1419.820997,3161.81916,3669.703809,1508.273394,296.8654715,2976.873726,1399.260524,1660.091023,928.0424999,6.787285262,0,1263.257963,3078.898497,70.07800805,0,210.3474272,560.6767016,35.67144252,152.8951469,649.5327417,429.753006,820.3562556,0,565.5344097,1330.886286,1445.830638,231.3443991,0,1376.375758,8.1362461,644.2950078,1093.758613,806.027502,458.8363383,806.8339246,2253.547635,1110.236543,1103.083441,1589.486408,1962.246696,990.8728625,1802.446167,1138.842124,1412.712885
453.4338296,251.3396796,78.50555801,4.612638883,18.0703264,17.66540866,396.2433037,126.5838468,84.83147416,697.8360815,0,172.6846766,114.6244575,375.7220973,280.3346493,0,0,260.4245836,18.92413615,182.5928861,69.77545606,98.94274745,161.6172236,20.02256032,0,21.98476154,39.0237952,81.42346074,95.13756504,10.81611105,135.9386657,229.2254604,37.78202716,43.96780144,0,0,26.24324051,899.7345425,0,0,0,9.341259618,0,0,31.61042086,0,0,0,0,262.5160829,748.9923122,166.4744616,0,60.64544641,0,203.7976761,119.4936482,68.95570789,65.85416025,86.79594739,53.54059007,33.11065298,50.96842278,53.54488802,160.8537465,262.2258237,249.734125,402.7899812,607.1118653
0,0,0,0,0,0,0,0,0,0,0,0,77.63572175,0,9.461339429,0,0,0,5.924451986,0,0,0,0,11.68177396,0,0,0,0,14.41852227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.90863598,0,0,0,6.129816855,0,0,0,0,0,0,0,0,0,0,0,0,25.42856519
4224.653456,3909.04881,3029.440548,40.92770023,1003.554688,1039.71014,1934.92181,1952.048111,2785.613806,1704.755334,14.10196927,1064.512152,1821.372449,1492.113863,3816.573764,389.1352976,1317.222277,1999.236346,1364.407543,2449.607675,2434.495238,1682.350226,3897.405733,1687.280827,2474.813483,1329.714782,3397.6177,2987.335541,1601.968341,434.8251168,4767.045076,1437.377343,2500.193821,843.848788,13.62999059,59.64442706,1312.566902,2091.479272,8.673922516,0,570.0690538,567.1665988,259.1959314,70.1592504,362.7664108,1257.507469,1151.041582,20.78259973,658.8317152,1756.472789,3202.971467,324.8220823,5.185560147,669.551556,3.907771761,548.7389158,667.3362737,1138.943763,1468.825696,1385.371996,2214.607464,1158.766537,894.7671909,1339.085291,1499.832507,276.92455,1685.324345,630.6423451,2178.918119
260.1478268,1049.94456,1192.986945,32.33039684,238.5250564,477.475833,667.588588,466.8610019,666.076071,318.7216282,15.36300298,965.1011787,962.6033356,730.9888104,2605.055007,660.8711797,230.5097579,689.91921,234.0999869,396.4723572,222.8902933,61.87572807,121.7503634,219.5084564,708.1455945,132.8391304,16.85692894,160.9970043,304.3269161,39.70724538,1070.531869,825.4170418,311.0429401,585.173303,14.66598611,38.14385894,809.1333684,373.2540537,0,3.146954764,0,4.18367542,836.4087065,98.63188078,54.40770986,250.928253,484.1868135,2.666252075,212.8424551,1087.45892,3163.171859,103.8691336,0,9.171646462,0,237.4613231,398.3496483,368.0397276,369.8299647,1023.365559,159.7092234,32.52028076,374.7303791,189.0524816,766.893796,219.7713027,480.5361538,476.9844465,1880.805962
0,0,19.29190261,0,0,0.797798317,0,7.636848122,5.759093157,40.99934313,0,0,0,14.31355645,101.4795676,0,0,0,0,0,0,0,0,0,0,0,0,0,35.46217419,0,0,0,0,5.940138802,0,0,0,8.943978585,0,0,0,0,0,0,0,0,0,0,0,4.829115268,0,10.72807825,0,0,0,15.38314698,7.923241159,2.161512106,11.22121846,14.33998551,0,0,0,0,18.96003121,0,3.202920938,0,21.74643012
2188.654565,3041.836719,2818.917636,37.3765393,1020.749314,846.2988685,1637.538092,1071.546792,3075.028467,953.0854985,12.2063517,236.2222728,1606.04965,1185.285407,3216.105971,521.1338651,35.94826424,2031.419452,1323.370788,2017.87593,1786.570673,1407.318655,3645.040696,1326.376198,2139.823214,1727.524907,2257.02553,1242.480783,1020.651066,443.6952065,4652.623334,1363.622278,2283.533027,392.9879318,0,0,568.050276,1670.444786,0,0,30.16411318,45.46446666,81.0136376,119.0182821,239.8652357,1132.957282,384.9590384,0,129.111985,1132.591142,2130.950112,281.4730558,0,421.747068,3.709578578,409.920275,479.7268169,1143.344626,1602.306101,1310.816261,1804.434554,504.3195948,633.5044375,742.4437385,775.9879085,82.62101718,995.3366621,311.3450179,1729.261337
2714.465702,817.6932726,766.7464757,0,315.9561666,805.9115393,448.3377612,599.6307852,198.0476155,2133.233298,9.745670265,332.0344243,404.2622469,420.5134819,2473.179169,59.2415813,18.33138192,741.8189763,153.5696079,1163.633428,137.306293,696.2060249,151.5875147,329.6078924,21.72915718,1214.862414,450.435669,424.8462939,539.6338627,301.8028385,955.3668252,732.6999045,877.5492874,876.0211381,0,1.515797107,544.1017601,820.611636,48.28353343,5.717403635,25.73047296,14.03238406,1098.712476,0,90.34691608,91.50053201,161.5297494,0,125.8913905,1257.727382,3594.916115,130.1015733,0,547.8374963,2.623318802,473.1259888,336.799912,451.3954356,236.6936703,924.8099721,218.925358,91.67637202,492.0184155,882.970852,416.2986048,605.3306559,1467.056557,777.6298572,1801.039047
