LS01A1,LS01D,LS02A1,LS02C1,LS02D,LS03A2,LS03D,LS04A,LS04C,LS04D,LS05A1,LS05C,LS05D,LS06A2,LS06C,LS06D,LS07A,LS07D,LS08A,LS08C,LS08D,LS09A,LS09C,LS09D,LS10A,LS10C,LS10D,LS11A1,LS11C,LS11D,LS12A1,LS12C,LS13A1,LS13D,LS14A1,LS14C,LS15A1,LS15C,LS15D,LS16B,LS16C,LS16D,LS17A,LS17C,LS17D,LS18A1,LS18C,LS18D,LS19A1,LS19C,LS19D,LS20A1,LS20D,LS21D,LS22A1,LS22C,LS22D,LS23A,LS23C,LS24B,LS24C,LS24D,LS25A1,LS25C,LS25D,LS26B,LS26C,LS26D,LS27A,LS27C,LS27D
0,0,0,0,0,0,0,0,0,0,25402,0,2248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,664,0,0,0,0,0,0,0,0,0,0,0,6516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6611,8086,2602,0,1007,2052,56609,0,0,0,0,0,0,2129,13825,12986,0,0,18417,30099,17573,4014,10366,12800,104,7013,0,0,8461,0,6810,0,8243,13482,0,0,0,0,1125,25581,0,0,0,0,2813,0,0,0,0,0,0,25065,14057,0,0,0,0,306,890,2764,6879,5381,0,0,0,11681,0,0,0,0,6683
0,0,0,0,0,0,73084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,3069,31882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1136,0,0,0,0,0,0,0,0,21770,0,0,0,0,0,0,0,0,0
285,171,24692,0,0,6140,72807,29420,12019,420099,0,0,5745,5301,0,183194,0,0,0,0,0,0,0,0,612,0,0,1160,0,72011,0,0,0,0,0,7805,0,0,0,17548,0,0,0,0,0,0,0,0,0,0,0,2705,1153,11217,0,0,0,39982,21727,4359,37700,12757,0,0,0,0,7053,6095,8297,0,27346
0,0,0,0,0,0,10016,0,0,1913,0,0,0,0,2077,8486,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,596,48,3528,0,0,0,0,3197,0,0,518,96
0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4288,4983,0,1980,4313,0,600,0,28496,0,0,20229,1590,17243,0,0,0,1770,0,0,0,4134,663,95327,0,1325,839,0,28600,1378,0,0,0,0,0,0,0,0,25608,0,0,0,0,0,0,0,0,0,0,2780,1732,154704,16210,0,6323,0,18138,0,14635,0,1829,0,0,779,0,37226,1898,4304,5654,76555
