s__Abiotrophia_defectiva
s__Scardovia_unclassified
s__Scardovia_wiggsiae
s__Selenomonas_artemidis
s__Selenomonas_flueggei
s__Selenomonas_infelix
s__Selenomonas_noxia
s__Selenomonas_sputigena
s__Shuttleworthia_satelles
s__Slackia_exigua
s__Slackia_unclassified
s__Solobacterium_moorei
s__Staphylococcus_aureus
s__Staphylococcus_epidermidis
s__Stomatobaculum_longum
s__Streptococcus_anginosus
s__Streptococcus_australis
s__Streptococcus_constellatus
s__Streptococcus_cristatus
s__Streptococcus_gordonii
s__Streptococcus_infantis
s__Streptococcus_intermedius
s__Streptococcus_mitis_oralis_pneumoniae
s__Streptococcus_mutans
s__Streptococcus_oligofermentans
s__Streptococcus_parasanguinis
s__Streptococcus_peroris
s__Streptococcus_pseudopneumoniae
s__Streptococcus_pyogenes
s__Streptococcus_salivarius
s__Streptococcus_sanguinis
s__Streptococcus_sobrinus
s__Streptococcus_sp_GMD4S
s__Streptococcus_sp_SK140
s__Streptococcus_thermophilus
s__Streptococcus_tigurinus
s__Streptococcus_vestibularis
s__Veillonella_atypica
s__Veillonella_dispar
s__Veillonella_parvula
s__Veillonella_sp_oral_taxon_158
s__Veillonella_sp_oral_taxon_780
s__Veillonella_unclassified
s__Weissella_unclassified
s__candidate_division_TM7_single_cell_isolate_TM7b
s__candidate_division_TM7_single_cell_isolate_TM7c
